Timestamp,TZ,S5T5 SECTION,SSS5P (mm),SSS5F (mm),SST5P (mm),SST5F (mm),TMS5S (degree),TMS5E (degree),TMT5E (degree),TMT5S (degree),SGS5T5NW-CAL (uStrain),SGS5T5NE-CAL (uStrain),SGS5T5M-CAL (uStrain),SGS5T5SW-CAL (uStrain),SGS5T5SE-CAL (uStrain),X10-Z10 SECTION,SSX10P (mm),SSX10F (mm),SSZ10P (mm),SSZ10F (mm),TMX10E (degree),TMX10S (degree),TMZ10S (degree),TMZ10E (degree),SGX10Z10NW-CAL (uStrain),SGX10Z10NE-CAL (uStrain),SGX10Z10M-CAL (uStrain),SGX10Z10SW-CAL (uStrain),SGX10Z10SE-CAL (uStrain),X11-Z11 SECTION,SSX11P (mm),SSX11F (mm),SSZ11P (mm),SSZ11F (mm),TMX11S (degree),TMX11E (degree),TMZ11S (degree),TMZ11E (degree),SGX11Z11NW-CAL (uStrain),SGX11Z11NE-CAL (uStrain),SGX11Z11M-CAL (uStrain),SGX11Z11SW-CAL (uStrain),SGX11Z11SE-CAL (uStrain),Z2-ZC2 SECTION,SSZ2P (mm),SSZ2F (mm),SSZC2P (mm),SSZC2F (mm),TMZ2S (degree),TMZ2E (degree),TMZC2E (degree),TMZC2S (degree),SGZ2ZC2NW-CAL (uStrain),SGZ2ZC2NE-CAL (uStrain),SGZ2ZC2M-CAL (uStrain),SGZ2ZC2SW-CAL (uStrain),SGZ2ZC2SE-CAL (uStrain),X4-Z4 SECTION,SSX4P (mm),SSX4F (mm),SSZ4P (mm),SSZ4F (mm),TMX4E (degree),TMX4S (degree),TMZ4E (degree),TMZ4S (degree),SGX4Z4NW-CAL (uStrain),SGX4Z4NE-CAL (uStrain),SGX4Z4M-CAL (uStrain),SGX4Z4SW-CAL (uStrain),SGX4Z4SE-CAL (uStrain),V13-X13 SECTION,SSV13P (mm),SSV13F (mm),SSX13P (mm),SSX13F (mm),TMV13S (degree),TMV13E (degree),TMX13E (degree),TMX13S (degree),SGV13X13NW-CAL (uStrain),SGV13X13NE-CAL (uStrain),SGV13X13M-CAL (uStrain),SGV13X13SW-CAL (uStrain),SGV13X13SE-CAL (uStrain),S15-T15 SECTION,SSS15P (mm),SSS15F (mm),SST15P (mm),SST15F (mm),TMS15S (degree),TMS15E (degree),TMT15S (degree),TMT15E (degree),SGS15T15NW-CAL (uStrain),SGS15T15NE-CAL (uStrain),SGS15T15M-CAL (uStrain),SGS15T15SW-CAL (uStrain),SGS15T15SE-CAL (uStrain),S4-T4 SECTION,SSS4P (mm),SSS4F (mm),SST4P (mm),SST4F (mm),TMS4E (degree),TMS4S (degree),TMT4E (degree),TMT4S (degree),SGS4T4NW-CAL (uStrain),SGS4T4NE-CAL (uStrain),SGS4T4M-CAL (uStrain),SGS4T4SW-CAL (uStrain),SGS4T4SE-CAL (uStrain),X21-V21 SECTION,SSV21P (mm),SSV21F (mm),SSX21P (mm),SSX21F (mm),TMV21E (degree),TMV21S (degree),TMX21E (degree),TMX21S (degree),SGV21X21NW-CAL (uStrain),SGV21X21NE-CAL (uStrain),SGV21X21M-CAL (uStrain),SGV21X21SW-CAL (uStrain),SGV21X21SE-CAL (uStrain),X22-V22 SECTION,SSV22P (mm),SSV22F (mm),SSX22P (mm),SSX22F (mm),TMV22E (degree),TMV22S (degree),TMX22E (degree),TMX22S (degree),SGV22X22NW-CAL (uStrain),SGV22X22NE-CAL (uStrain),SGV22X22M-CAL (uStrain),SGV22X22SW-CAL (uStrain),SGV22X22SE-CAL (uStrain),Temperature Sensor (degC)
04-03-2024 13:00,n,0,-0.850533,-1.527968,-9.574126,-1.624888,0.011415,-0.018421,-0.008879,-0.025792,-11.880754,0.218387,54.928936,4.565156,0.91155,0,0.450289,-0.071932,-0.040315,-0.048994,0.021648,-0.01581,-0.049582,0.046958,4.003765,-4.568117,-9.985846,3.125651,-2.293682,0,0.089485,0.016483,0.146136,-0.134581,-0.046618,-0.046421,-0.0364,-0.00937,-7.503882,5.016242,55.625552,0.944123,-2.047164,0,-0.032793,-0.321232,0.134796,-0.080444,-0.016091,-0.019166,0.001104,-0.05209,2.802265,-21.296326,-4.877313,14.446866,-3.215597,0,-0.228722,-0.319756,-0.097887,-0.208223,-0.032673,0.004766,0.001818,-0.508601,41464.396,6.943971,-4.195748,0.936721,29.96025,0,0.169741,0.099539,0.140789,0.069229,-0.020004,0.033345,-0.002108,-0.004074,0.704021,-1.433212,3.664833,-6.302135,-10.74909,0,-0.328532,-0.046244,-0.151389,5.694466,-0.032173,-0.026524,-0.011885,-0.03549,-0.228751,3.805365,-1.199772,-3.358474,17.673812,0,-0.334525,0.124126,-0.425879,0.065718,-0.02638,0.077095,-0.018847,-0.024365,-4.733696,6.908684,0.734373,-2.888386,-5.535436,0,-0.185644,-0.218485,0.033134,0.028711,-0.036677,-0.018395,-0.051767,-0.023198,3.967984,-13.45561,-10.125762,-1.048012,0.393837,0,-0.14229,0.117474,-0.230755,0.099318,0.006188,-0.035921,-0.056774,-0.008662,2.600658,-3.957373,2.185135,-1.609786,8.899434,27.580888
04-03-2024 14:00,n,0,-0.853329,-1.523314,-9.57808,-1.616839,-0.005036,-0.022543,-0.019631,-0.012228,-13.25277,1.352273,60.22254,5.202303,1.421121,0,0.437222,-0.095646,-0.054002,-0.075159,0.011682,-0.01366,-0.041716,0.02997,4.244114,-4.640172,-9.34327,3.585745,-2.170546,0,0.096924,0.021482,0.133123,-0.155905,-0.031825,-0.051346,-0.033298,-0.001657,-7.915239,4.606735,58.495676,1.32809,-2.776108,0,-0.044613,-0.342451,0.139446,-0.102949,-0.007687,-0.01661,0.001966,-0.050124,2.346737,-17.930696,-4.809453,14.240324,-4.123199,0,-0.21613,-0.308033,-0.091881,-0.203093,-0.036675,0.01829,-0.022222,-0.499082,45532.036,6.738046,-3.84164,1.141782,37.320764,0,0.158224,0.071123,0.150702,0.043098,-0.024858,0.041269,-0.024339,-0.015163,1.383365,-0.323016,3.701971,-6.332487,-10.905046,0,-0.352352,-0.031185,-0.164992,5.626044,-0.055386,-0.043983,-0.018307,-0.051929,-0.249726,3.202765,-0.705008,-2.286033,17.398176,0,-0.348731,0.133238,-0.439447,0.080023,-0.019167,0.077857,-0.039948,-0.040957,-4.278908,121.96762,1.067259,-2.533291,-5.231175,0,-0.200542,-0.224396,0.030856,0.023895,-0.040628,-0.016913,-0.050291,-0.019885,3.980816,-13.119022,-9.724028,-1.401873,0.363979,0,-0.154821,0.146818,-0.241382,0.105501,-0.011038,-0.023368,-0.054041,-0.012839,3.879395,-3.815236,1.295959,-1.192838,9.773984,28.094288
04-03-2024 15:00,n,0,-0.870931,-1.535109,-9.599244,-1.634073,0.000457,-0.034976,-0.018319,-0.023568,-11.429174,0.831105,68.616256,5.091012,2.104907,0,0.440802,-0.093294,-0.050441,-0.068035,0.004053,-0.019843,-0.035375,0.04291,4.345288,-3.947749,-9.637166,3.956756,-3.442621,0,0.104965,0.033024,0.13136,-0.151165,-0.026521,-0.039364,-0.041171,-0.014133,-7.838989,5.805644,61.065244,1.575596,-2.716638,0,-0.041656,-0.337715,0.126161,-0.099352,-0.014224,-0.034786,-0.001397,-0.055928,2.257161,-19.394506,-4.60908,15.26588,-3.684204,0,-0.215427,-0.309723,-0.101339,-0.20598,-0.036315,0.011601,-0.015393,-0.498899,47251.692,7.366804,-3.731336,1.127717,33.186458,0,0.165093,0.074684,0.146914,0.04908,-0.013689,0.036277,-0.031181,-0.008077,1.040609,-0.287235,4.241647,-6.208858,-10.98253,0,-0.343569,-0.036715,-0.162623,5.644717,-0.035653,-0.042842,-0.036587,-0.033759,0.184827,2.470613,-0.371875,-1.827789,17.510948,0,-0.345775,0.162184,-0.439447,0.096157,-0.024574,0.069654,-0.036219,-0.042536,-4.448436,7.041937,1.233456,-2.773394,-5.26967,0,-0.199954,-0.230654,0.022412,0.018589,-0.046939,-0.009986,-0.056528,-0.02793,4.053734,-13.267082,-10.41349,-1.411497,0.841469,0,-0.154821,0.1145,-0.237803,0.097326,-0.023342,-0.036082,-0.074524,-0.019223,4.163175,-4.313948,1.075091,-2.209675,9.063536,28.408494
04-03-2024 16:00,n,0,-0.862147,-1.545277,-9.60042,-1.64008,-0.005213,-0.028482,-0.000735,-0.025033,-9.999912,0.334367,78.54288,6.148154,1.950185,0,0.443758,-0.087311,-0.050441,-0.069178,0.011507,-0.001118,-0.035558,0.04291,4.01635,-3.435711,-9.157948,4.174773,-2.1054,0,0.097505,0.025051,0.136703,-0.144043,-0.014582,-0.052781,-0.034238,-0.014505,-8.810256,5.89448,63.600016,1.363871,-1.61261,0,-0.038112,-0.329449,0.127554,-0.064976,-0.008413,-0.021805,-0.006169,-0.043568,2.409662,-21.565546,-4.334183,15.111898,-3.419178,0,-0.219523,-0.316351,-0.098988,-0.206724,-0.037041,0.036669,-0.015393,-0.498899,44849.244,6.689927,-4.076807,1.083793,34.524416,0,0.174477,0.080597,0.133051,0.057417,-0.018236,0.041824,-0.024876,-0.008632,1.694043,-0.056016,4.456455,-6.246613,-10.605474,0,-0.341234,-0.038883,-0.161413,5.654019,-0.036599,-0.036372,-0.029873,-0.032428,0.260584,2.571293,-0.126344,-1.074416,17.987452,0,-0.342196,0.149334,-0.435281,0.081507,0.012846,0.073842,-0.016876,-0.030812,-4.286557,17242.47,1.967212,-3.476181,-4.915562,0,-0.193989,-0.22374,0.029231,0.024174,-0.033773,-0.011072,-0.061662,-0.021491,4.282856,-12.780954,-9.485652,-1.379664,0.552754,0,-0.148285,0.134785,-0.236039,0.086887,-0.011593,-0.030089,-0.035785,-0.006448,3.623746,-3.176114,1.133345,-0.689129,8.891006,28.656704
04-03-2024 17:00,n,0,-0.896573,-1.508371,-9.56679,-1.6609,-0.012873,-0.025173,-0.014844,-0.020429,-11.86891,0.592977,82.08692,5.083609,2.496277,0,0.439039,-0.095608,-0.05523,-0.078791,0.022489,-0.009269,-0.042913,0.034749,4.413395,-3.569211,-9.659868,4.488412,-3.315783,0,0.109637,0.013889,0.134938,-0.15587,-0.038013,1.347143,-0.035254,-0.028629,-7.726711,6.951498,64.731924,1.93834,-1.984239,0,-0.041638,-0.33882,0.135553,-0.072027,-0.009812,-0.036868,-0.001759,-0.052257,4.663121,-26.62744,-4.230295,14.09868,-2.397817,0,-0.217916,-0.318295,-0.108929,-0.199429,-0.032626,0.015282,-0.009511,-0.167333,0.438132,7.311281,-4.113575,1.146964,39.637392,0,0.162187,0.073545,0.135988,0.045486,-0.02006,0.033667,-0.033073,-0.010393,1.835933,-0.036274,4.606982,-6.242172,-10.68049,0,-0.355102,-0.03293,-0.169089,5.629915,-0.06846,-0.038807,-0.031247,-0.028594,0.163852,2.465431,0.011351,-0.650226,17.839394,0,-0.346346,0.188091,-0.444703,0.114435,-0.00284,0.068586,-0.024012,-0.0446,-3.746142,7.025651,2.093432,-3.450024,-5.643519,0,-0.201753,-0.226948,0.022817,0.017294,-0.041616,-0.020155,-0.052122,-0.003699,4.40118,-12.701002,-10.047784,-1.398418,1.519827,0,-0.147091,0.120428,-0.241935,0.12509,-0.031619,-0.025511,-0.050379,-0.007144,5.173185,-2.278876,1.449154,-0.477681,9.611368,0
04-03-2024 18:00,n,0,-0.87252,-1.541298,-9.612644,-1.634571,-0.013971,-0.026101,-0.016534,-0.028852,-12.382676,2.005954,80.494048,6.535822,2.508368,0,0.434872,-0.105083,-0.056423,-0.082352,0.01362,-0.022007,-0.04436,0.052193,4.621665,-4.668797,-9.27911,4.695077,-2.95674,0,0.094522,0.025135,0.13672,-0.161852,-0.022663,1.344818,-0.036566,-0.017612,-6.92275,6.284985,58.217824,1.991395,-2.767718,0,-0.046982,-0.348297,0.119819,-0.081505,-0.022714,-0.039096,0.001768,-0.054131,5.235616,-30.86514,-3.981803,13.98196,-1.816192,0,-0.221349,-0.313356,-0.100646,-0.20536,-0.040133,0.015837,-0.017269,-0.162048,0.963618,7.836768,-4.243127,1.064792,43.802296,0,0.169053,0.061684,0.120836,0.035976,-0.021574,0.038299,-0.027134,-0.013567,1.530684,-0.283286,4.605131,-6.266108,-10.609916,0,-0.341044,-0.049675,-0.176766,5.64859,-0.057175,-0.046033,-0.027151,-0.041595,0.557443,2.752912,-0.029859,-0.369407,17.792508,0,-0.348731,0.116547,-0.445291,0.070803,0.004045,0.073328,-0.024201,-0.02693,-3.831276,17241.742,2.108238,-3.308627,-5.573684,0,-0.207718,-0.24136,0.016186,0.018536,-0.042349,-0.019794,-0.059452,-0.024432,4.667563,-12.922598,-10.242728,-1.199279,1.379911,0,-0.156013,0.124626,-0.251392,0.103848,-0.01484,-0.031687,-0.070307,-0.020835,4.422525,-3.853732,1.487329,-0.574109,9.567988,29.265126
04-03-2024 19:00,n,0,-0.864913,-1.533299,-9.611452,-1.630161,-0.001362,-0.031857,-0.014844,-0.027387,-11.848676,0.731165,81.424608,6.079553,2.387206,0,0.437276,-0.102732,-0.055818,-0.079966,0.001371,-0.022562,-0.037841,0.046382,4.614015,-4.103211,-9.493302,4.615372,-1.926496,0,0.100188,0.038115,0.142045,-0.158255,-0.022852,1.346069,-0.035821,-0.034695,-7.015534,6.475858,56.854692,1.903053,-1.910703,0,-0.045184,-0.345945,0.131763,-0.076767,-0.029074,-0.031674,0.0046,-0.063689,4.679901,-33.328102,-3.362422,12.751836,-0.713398,0,-0.23159,-0.31794,-0.100076,-0.205952,-0.039401,0.015093,-0.011177,-0.168469,0.670584,7.543734,-4.20167,0.881198,42.419424,0,0.164491,0.06407,0.118317,0.039572,-0.020817,0.028126,-0.045854,-0.00443,1.447771,-0.056756,4.669167,-5.960119,-10.561056,0,-0.359217,-0.02113,-0.1809,5.610068,-0.051541,-0.05857,-0.03909,-0.035284,0.3852,3.068525,-0.010858,-0.630732,18.41485,0,-0.343371,0.181797,-0.450029,0.124622,0.021726,0.060572,-0.039271,-0.044777,-2.906894,8.500814,2.327119,-3.254092,-5.179354,0,-0.200577,-0.221346,0.029325,0.026115,-0.036978,-0.019067,-0.058354,-0.030512,4.775769,-13.287316,-10.79499,-1.449499,1.534139,0,-0.154215,0.137936,-0.250788,0.113424,-0.026773,-0.026231,-0.057025,-0.021011,4.917043,-3.421646,2.625136,-1.493278,10.24745,29.175464
04-03-2024 20:00,n,0,-0.840895,-1.509962,-9.58382,-1.598312,-0.007214,-0.037796,-0.027764,-0.021527,-11.232256,0.522895,80.29368,5.217109,3.301718,0,0.432503,-0.108681,-0.061177,-0.088264,0.008293,-0.003281,-0.050518,0.046382,4.72728,-3.772299,-9.950312,4.661764,-1.868999,0,0.079601,0.020042,0.139677,-0.165413,-0.028919,1.358765,-0.030011,-0.034134,-7.062172,4.467437,60.990724,1.942042,-2.709975,0,-0.048745,-0.351891,0.122536,-0.081505,-0.009274,-0.04299,-0.001229,-0.052453,5.369117,-35.93616,-3.19018,11.422266,-1.089715,0,-0.231995,-0.31625,-0.10656,-0.206327,-0.039211,0.02791,-0.005819,-0.188897,1.221858,8.095007,-4.590819,0.653434,43.558,0,0.172771,0.058121,0.102541,0.032379,-0.028013,0.032562,-0.021019,-0.004985,1.871714,0.162618,4.712968,-5.851542,-10.210156,0,-0.351004,-0.03928,-0.184478,5.634585,-0.062821,-0.045655,-0.020065,-0.035284,0.528324,3.145022,0.287235,-0.682799,18.979448,0,-0.345775,0.186201,-0.454802,0.094814,-0.004512,0.060572,-0.026807,-0.031306,-2.999184,9.017292,2.232978,-3.45866,-4.727774,0,-0.201147,-0.216764,0.030023,0.029493,-0.055343,0.004809,-0.047172,-0.036408,4.871885,-12.564788,-10.559574,-1.333272,1.944756,0,-0.153609,0.142132,-0.255525,0.124468,-0.027151,-0.043852,-0.063666,-0.015536,283.93094,-2.738106,2.589936,-1.181931,10.199608,29.11395
04-03-2024 21:00,n,0,-0.878987,-1.556522,-9.62556,-1.653742,-0.001545,-0.03724,-0.009606,-0.020801,-10.51565,0.57595,79.429504,4.787985,3.261495,0,0.433107,-0.108681,-0.059397,-0.083529,0.028171,-0.021439,-0.048712,0.040377,5.550736,-4.262128,-11.697656,4.529251,-3.418931,0,0.089477,0.031284,0.141475,-0.167801,-0.022284,1.352869,-0.042181,-0.022385,-7.467114,6.968278,63.611616,2.44717,-3.017938,0,-0.048745,-0.353033,0.118633,-0.080294,-0.021439,-0.03093,0.004955,-0.065367,6.626879,-36.940744,-2.890113,10.030016,-2.023474,0,-0.23574,-0.316885,-0.10656,-0.209293,-0.020552,0.021403,-0.017269,-0.169415,1.279477,8.152627,-4.671264,1.665912,43.767744,0,0.157136,0.058121,0.117067,0.03359,-0.014384,0.039032,-0.026957,-0.004613,2.367712,0.252441,4.822655,-5.88066,-10.721454,0,-0.355102,-0.037188,-0.185654,5.629915,-0.057742,-0.039185,-0.033115,-0.035284,1.148939,3.356006,0.617653,-0.60038,18.647548,0,-0.345775,0.153984,-0.453004,0.090452,0.015587,0.066407,-0.032758,-0.039179,-3.380683,8.884286,3.024724,-3.408814,-4.624132,0,-0.20355,-0.235752,0.011374,0.013914,-0.048477,-0.005762,-0.064768,-0.028901,4.929011,-12.774538,-10.40658,-1.259983,1.744383,0,-0.15482,0.131681,-0.259069,0.088579,-0.031997,-0.032231,-0.056653,-0.027585,3.665943,-3.575874,2.156875,-0.421906,9.332246,28.912396
04-03-2024 22:00,n,0,-0.835016,-1.5098,-9.57502,-1.594647,-0.001172,-0.03093,-0.021032,-0.02135,-11.655706,0.401487,86.7794,5.851542,2.822747,0,0.428941,-0.118191,-0.061783,-0.091862,0.015043,-0.016196,-0.038024,0.039815,5.32075,-5.002424,-10.846562,4.69409,-1.780411,0,0.090146,0.029993,0.139677,-0.170187,-0.028534,1.346247,-0.043121,-0.015591,-8.839128,6.773827,60.4012,2.299358,-1.925755,0,-0.05229,-0.358982,0.112357,-0.080294,-0.013992,-0.03724,-0.007241,-0.058812,5.150729,-36.40724,-2.123661,7.107824,-3.171179,0,-0.235189,-0.314629,-0.111299,-0.204618,-0.026955,0.021031,-0.011177,-0.17547,1.274665,8.147815,-4.761581,1.555854,45.465,0,0.162853,0.053385,0.103811,0.028851,-0.021196,0.032373,-0.0338,-0.00443,1.799658,0.118941,4.961707,-5.631675,-10.68049,0,-0.341044,-0.05364,-0.185654,5.646239,-0.063004,-0.045655,-0.021737,-0.03012,0.900199,3.168711,0.575456,-0.36768,18.562414,0,-0.348144,0.178724,-0.457758,0.106421,0.015032,0.077339,-0.033881,-0.056679,-3.684204,8.332766,2.085783,-2.80646,-4.925432,0,-0.207718,-0.240486,0.013354,0.016327,-0.042538,-0.013416,-0.070451,-0.030512,4.788478,-12.512474,-10.250626,-1.065039,2.299358,0,-0.151847,0.164909,-0.263807,0.139313,-0.020993,-0.03895,-0.051484,-0.02156,3.780442,-4.44967,2.127624,-0.703011,10.458156,28.812832
