"Timestamp","TZ","S5T5 SECTION","SSS5P (mm)","SSS5F (mm)","SST5P (mm)","SST5F (mm)","TMS5S (degree)","TMS5E (degree)","TMT5E (degree)","TMT5S (degree)","SGS5T5NW-CAL (uStrain)","SGS5T5NE-CAL (uStrain)","SGS5T5M-CAL (uStrain)","SGS5T5SW-CAL (uStrain)","SGS5T5SE-CAL (uStrain)","X10-Z10 SECTION","SSX10P (mm)","SSX10F (mm)","SSZ10P (mm)","SSZ10F (mm)","TMX10E (degree)","TMX10S (degree)","TMZ10S (degree)","TMZ10E (degree)","SGX10Z10NW-CAL (uStrain)","SGX10Z10NE-CAL (uStrain)","SGX10Z10M-CAL (uStrain)","SGX10Z10SW-CAL (uStrain)","SGX10Z10SE-CAL (uStrain)","X11-Z11 SECTION","SSX11P (mm)","SSX11F (mm)","SSZ11P (mm)","SSZ11F (mm)","TMX11S (degree)","TMX11E (degree)","TMZ11S (degree)","TMZ11E (degree)","SGX11Z11NW-CAL (uStrain)","SGX11Z11NE-CAL (uStrain)","SGX11Z11M-CAL (uStrain)","SGX11Z11SW-CAL (uStrain)","SGX11Z11SE-CAL (uStrain)","Z2-ZC2 SECTION","SSZ2P (mm)","SSZ2F (mm)","SSZC2P (mm)","SSZC2F (mm)","TMZ2S (degree)","TMZ2E (degree)","TMZC2E (degree)","TMZC2S (degree)","SGZ2ZC2NW-CAL (uStrain)","SGZ2ZC2NE-CAL (uStrain)","SGZ2ZC2M-CAL (uStrain)","SGZ2ZC2SW-CAL (uStrain)","SGZ2ZC2SE-CAL (uStrain)","X4-Z4 SECTION","SSX4P (mm)","SSX4F (mm)","SSZ4P (mm)","SSZ4F (mm)","TMX4E (degree)","TMX4S (degree)","TMZ4E (degree)","TMZ4S (degree)","SGX4Z4NW-CAL (uStrain)","SGX4Z4NE-CAL (uStrain)","SGX4Z4M-CAL (uStrain)","SGX4Z4SW-CAL (uStrain)","SGX4Z4SE-CAL (uStrain)","V13-X13 SECTION","SSV13P (mm)","SSV13F (mm)","SSX13P (mm)","SSX13F (mm)","TMV13S (degree)","TMV13E (degree)","TMX13E (degree)","TMX13S (degree)","SGV13X13NW-CAL (uStrain)","SGV13X13NE-CAL (uStrain)","SGV13X13M-CAL (uStrain)","SGV13X13SW-CAL (uStrain)","SGV13X13SE-CAL (uStrain)","S15-T15 SECTION","SSS15P (mm)","SSS15F (mm)","SST15P (mm)","SST15F (mm)","TMS15S (degree)","TMS15E (degree)","TMT15S (degree)","TMT15E (degree)","SGS15T15NW-CAL (uStrain)","SGS15T15NE-CAL (uStrain)","SGS15T15M-CAL (uStrain)","SGS15T15SW-CAL (uStrain)","SGS15T15SE-CAL (uStrain)","S4-T4 SECTION","SSS4P (mm)","SSS4F (mm)","SST4P (mm)","SST4F (mm)","TMS4E (degree)","TMS4S (degree)","TMT4E (degree)","TMT4S (degree)","SGS4T4NW-CAL (uStrain)","SGS4T4NE-CAL (uStrain)","SGS4T4M-CAL (uStrain)","SGS4T4SW-CAL (uStrain)","SGS4T4SE-CAL (uStrain)","X21-V21 SECTION","SSV21P (mm)","SSV21F (mm)","SSX21P (mm)","SSX21F (mm)","TMV21E (degree)","TMV21S (degree)","TMX21E (degree)","TMX21S (degree)","SGV21X21NW-CAL (uStrain)","SGV21X21NE-CAL (uStrain)","SGV21X21M-CAL (uStrain)","SGV21X21SW-CAL (uStrain)","SGV21X21SE-CAL (uStrain)","X22-V22 SECTION","SSV22P (mm)","SSV22F (mm)","SSX22P (mm)","SSX22F (mm)","TMV22E (degree)","TMV22S (degree)","TMX22E (degree)","TMX22S (degree)","SGV22X22NW-CAL (uStrain)","SGV22X22NE-CAL (uStrain)","SGV22X22M-CAL (uStrain)","SGV22X22SW-CAL (uStrain)","SGV22X22SE-CAL (uStrain)","Temperature Sensor (degC)"
2024/02/27 17:00:00.002,n,0,-0.885338,-1.556734,-9.552606,-1.674645,-0.005174,-0.042938,-0.019069,-0.005605,-6.560005,-2.09701,5.87844,-0.190503,-4.572805,0,0.413063,-0.100008,-0.054411,-0.097382,-0.015585,-0.001122,-0.052718,-0.008698,-2.062216,-5.722237,-6.328293,-1.417789,-2.828175,0,0.109008,0.028147,0.14283,-0.146,-0.032774,1.368736,-0.040792,-0.03797,-1.660483,-2.04704,-18.980188,-4.055586,-3.151931,0,-0.080571,-0.443934,0.136274,-0.103682,-0.007465,-0.042938,-0.023606,-0.031018,0.504882,-31.492414,-11.569338,10.040134,0.601367,0,-0.216965,-0.292572,-0.086351,-0.217239,0.000851,-0.006029,0.010659,7.167803,46683.016,-3.628435,-3.185985,9.058008,-3435.5304,0,0.169621,0.083427,0.126411,0.037544,-0.00613,0.015026,-0.005579,-0.026362,-4.747268,-5.478927,-2.851742,-7.131513,-9.984118,0,-0.366783,-0.035378,-0.16356,5.641653,-0.01781,-0.030858,-0.018299,-0.032632,-4.068417,-2.148091,-5.062141,-3.201531,7.645031,0,-0.346771,0.214777,-0.451088,0.132872,-0.036858,0.060765,0.000607,-0.00449,-9.12735,-0.210737,-3.781429,1.621987,-7.519675,0,-0.189054,-0.213524,0.010369,-0.020582,-0.00354,-0.027988,-0.018556,-0.013388,-1.405451,-7.383707,-7.671929,-2.062463,-3.601538,0,-0.156968,0.110798,-0.274296,0.135122,-0.017554,-0.035676,-0.011612,-0.018267,-5.73729,0.734373,-3.659821,0.66558,-9.008752,0
2024/02/27 18:00:00.012,n,0,-0.891667,-1.542605,-9.536052,-1.637444,0.000195,-0.035226,-0.003774,-0.009932,-5.97073,-1.601259,8.847272,0.245531,-3.698763,0,0.417402,-0.092506,-0.044705,-0.080322,-0.002293,0.012879,-0.068993,-0.004051,-0.963371,-6.241184,-7.369888,-1.373001,-3.720725,0,0.085995,0.024902,0.153676,-0.138485,-0.030726,1.375547,-0.031667,-0.023764,-3.079383,-1.32772,-15.947446,-3.366124,-3.571432,0,-0.075067,-0.53961,0.120512,-0.097387,-0.00433,-0.047476,0.004659,-0.029395,1.094157,-37.472276,-11.31813,9.412116,1.068246,0,-0.212734,-0.30282,-0.080905,-0.213169,0.003109,0.002067,0.006142,6.686806,45980.988,-3.027809,-2.841254,9.325748,-61.000344,0,0.156943,0.090895,0.129482,0.0462,-0.003135,0.031578,0.008113,-0.030329,-4.471631,-5.144807,-2.750938,-6.792211,-10.020146,0,-0.350871,-0.032326,-0.162212,5.643011,-0.022549,-0.029359,-0.012948,-0.02536,-3.854472,-1.768072,-4.90964,-3.112202,8.64221,0,-0.337066,0.200562,-0.446197,0.15547,-0.042513,0.049702,-0.004273,0.005064,-8.144978,0.823702,-3.51628,1.254801,-7.937201,0,-0.185868,-0.248497,0.000612,-0.039755,-0.001388,0.0036,-0.016465,-0.019282,-1.322538,-7.934981,-8.004568,-2.008422,-3.150204,0,-0.150244,0.125484,-0.268205,0.100594,-0.002694,-0.025993,-0.022199,-0.00416,-6.547173,1.066766,-2.870545,0.879755,-9.368686,27.976592
2024/02/27 19:00:00.008,n,0,-0.88112,-1.543228,-9.528998,-1.628246,-0.003827,-0.042282,-0.017446,-0.015785,-7.135955,-2.258395,13.060292,-0.265766,-3.776987,0,0.412664,-0.100805,-0.047662,-0.089796,-0.020048,0.000715,-0.057214,-0.005552,-0.731659,-6.542238,-7.342744,-1.164978,-3.358721,0,0.08988,0.031891,0.154887,-0.14682,-0.031104,1.389305,-0.032789,-0.030368,-3.618071,-1.336357,-16.244058,-3.16501,-3.153165,0,-0.077435,-0.550295,0.124449,-0.104513,-0.011959,-0.053793,0.003597,-0.031641,3.08111,-42.130708,-11.208568,8.640976,2.52268,0,-0.206212,-0.294302,-0.076167,-0.209013,2.136454e-06,-0.010201,0.005959,7.414492,45260.492,-2.452229,-3.718011,9.26998,-3433.5124,0,0.16195,0.08021,0.11689,0.040253,-0.010508,0.019554,-0.003568,-0.031079,-4.533076,-4.897301,-2.581164,-6.906957,-10.186466,0,-0.365516,-0.017017,-0.170495,5.607981,-0.029312,-0.017182,-0.011081,-0.031475,-3.338733,-1.384846,-4.604885,-3.244222,8.705628,0,-0.343636,0.173649,-0.452715,0.125257,-0.030586,0.050428,0.002404,0.005766,-7.640836,1.018153,-2.180787,0.668487,-8.516606,0,-0.184658,-0.230293,0.009003,-0.033249,-0.008987,-0.014807,-0.004203,-0.006409,-1.206805,-6.983948,-8.22567,-2.02989,-2.687519,0,-0.150814,0.132538,-0.277074,0.084543,0.003269,-0.027989,-0.015198,0.001859,-8.85961,1.31205,-2.933509,-0.237477,-9.515188,27.754956
2024/02/27 20:00:00.002,n,0,-0.900245,-1.572544,-9.551698,-1.657822,-0.012951,-0.045582,-0.00821,0.017687,-7.928564,-1.149432,14.773336,0.18384,-3.47544,0,0.416485,-0.094341,-0.046188,-0.084467,-0.00679,-0.003338,-0.055057,0.003715,-0.691189,-6.119282,-7.556936,-0.863801,-3.040393,0,0.095528,0.039814,0.163449,-0.133259,-0.022497,1.384636,-0.042659,-0.015114,-4.86843,-0.742763,-15.317206,-3.18253,-2.83163,0,-0.071242,-0.536697,0.122192,-0.093277,-0.002699,-0.044655,-0.011307,-0.026898,3.452245,-45.145932,-11.060508,6.16444,1.148198,0,-0.197096,-0.289766,-0.066468,-0.210886,0.015731,-0.002173,0.009133,7.363425,45881.652,-2.440261,-3.900123,9.392622,-56.022108,0,0.160194,0.093798,0.119488,0.057411,-0.001729,0.03438,-0.007535,-0.028223,-4.478788,-5.031789,-2.486406,-6.676478,-9.980664,0,-0.348343,-0.03194,-0.165482,5.644539,-0.031307,-0.02661,-0.01382,-0.011295,-3.375254,-1.09465,-4.607106,-3.366124,9.013344,0,-0.33504,0.199448,-0.449533,0.146116,-0.032959,0.046242,0.004316,-0.003918,-8.342143,1.104027,-3.117138,0.130786,-9.000266,0,-0.177825,-0.235353,0.007243,-0.036425,0.001628,0.00033,-0.007479,0.002504,-0.986444,-7.188269,-8.632832,-1.97042,-3.067784,0,-0.145766,0.126749,-0.270293,0.105608,0.000719,-0.03688,-0.007048,-0.007979,-4.634003,0.721541,-3.197758,0.559979,-9.310928,27.417098
2024/02/27 21:00:00.014,n,0,-0.93718,-1.610319,-9.583426,-1.697086,-0.007097,-0.04521,-0.002602,-0.019441,-5.483122,-1.644937,53.860688,0.828144,-3.879395,0,0.414703,-0.10029,-0.050356,-0.093975,-0.005545,-0.003155,-0.053971,-0.009433,-0.52635,-6.63823,-8.095871,-1.01914,-3.322693,0,0.080923,0.023111,0.159886,-0.145119,-0.028185,1.385351,-0.03611,-0.021175,-6.17974,-0.7018,-14.894252,-2.951064,-3.119852,0,-0.07598,-0.544996,0.120451,-0.102785,0.010734,-0.044282,0.007083,-0.040381,4.265089,-46.783468,-10.8093,4.736657,1.364365,0,-0.2257,-0.310188,-0.093633,-0.216898,-0.001273,-0.00719,0.002498,7.67886,46532.936,-2.381654,-3.538366,9.372634,-3433.7544,0,0.156072,0.085533,0.110664,0.050287,-0.007784,0.015545,-0.001607,-0.022626,-3.825847,-5.06066,-2.462099,-6.778146,-9.937234,0,-0.350107,-0.035824,-0.170824,5.638729,-0.026429,-0.026226,-0.007295,-0.029838,-3.32368,-0.453554,-4.543687,-3.472232,9.001992,0,-0.339207,0.185762,-0.45486,0.146038,-0.027936,0.045516,0.023176,0.00744,-7.893524,1.667145,-2.577709,0.826663,-8.879598,0,-0.17843,-0.227053,0.003242,-0.036425,-0.01172,0.001784,-0.007839,-0.021264,-1.095144,-7.19814,-8.571634,-2.156974,-2.69739,0,-0.147564,0.131741,-0.274443,0.097668,-0.01233,-0.037246,-0.026213,-0.007619,-4.294454,0.674409,-2.74437,0.442233,-8.969834,27.115704
2024/02/27 22:00:00.009,n,0,-0.884216,-1.566279,-9.530356,-1.647635,-0.011344,-0.037243,0.004909,9.346008e-05,-7.483894,-0.290443,13.86154,0.428138,-3.999323,0,0.417367,-0.091402,-0.042916,-0.077919,0.009973,0.003807,-0.052773,0.004491,-0.420241,-6.781353,-8.931912,-1.113775,-2.983144,0,0.085384,0.029119,0.164302,-0.13629,-0.020944,1.381344,-0.04152,-0.013128,-6.307318,-0.526844,-15.04157,-3.118125,-3.391294,0,-0.073346,-0.539764,0.117297,-0.09746,-0.006573,-0.037616,0.0151,-0.030997,4.018818,-46.909068,-10.150684,3.782663,1.410016,0,-0.219861,-0.298088,-0.07686,-0.211758,0.014226,-0.0072,0.015228,7.047245,46209.404,-1.7049,-3.690373,9.043696,-3433.1696,0,0.145989,0.095562,0.132185,0.062748,-0.006049,0.023824,-6.246567e-05,-0.020554,-3.638306,-4.864728,-2.356361,-6.882527,-10.190414,0,-0.356378,-0.018665,-0.166986,5.623871,-0.012696,-0.0199,-0.000952,-0.022505,-3.058901,-0.170515,-5.024879,-3.929735,8.574102,0,-0.333581,0.155333,-0.445713,0.116365,-0.04937,0.041087,0.00618,0.008344,-7.869094,87.964128,-2.869509,0.813091,-8.341156,0,-0.176938,-0.227856,0.014869,-0.030029,0.002546,-0.010294,-0.01338,-0.00759,-0.694274,-7.325964,-8.730058,-1.76141,-3.40758,0,-0.149034,0.104855,-0.270617,0.08865,0.000909,-0.016951,-0.006876,0.005646,-5.756784,0.986567,-2.152413,0.223347,-9.25912,26.838662
2024/02/27 23:00:00.005,n,0,-0.889473,-1.563171,-9.535042,-1.641398,-0.005307,-0.037988,0.004537,-0.005387,-5.494473,-1.539321,16.555968,0.152748,-4.204632,0,0.415568,-0.097351,-0.04767,-0.086252,-0.001562,0.003996,-0.047158,0.018382,-0.422462,-7.043171,-9.09231,-1.191752,-3.399684,0,0.082659,0.028891,0.1661,-0.137466,-0.008261,1.386532,-0.041703,-0.014416,-6.014407,-0.391863,-13.159246,-2.971299,-3.079383,0,-0.075716,-0.544502,0.119737,-0.101057,0.005042,-0.044854,0.021991,-0.025382,4.024986,-48.041472,-10.107994,3.401411,2.110089,0,-0.213662,-0.297598,-0.084538,-0.215319,-0.000214,0.011195,0.016149,7.145678,41821.216,-2.049385,-4.033623,9.178184,-3432.8268,0,0.151313,0.092033,0.114496,0.057976,-0.006995,0.023457,-0.005994,-0.02634,-3.505793,-4.847948,-2.460125,-6.906957,-10.376474,0,-0.350516,-0.032629,-0.168766,5.640194,-0.02453,-0.02637,-0.019592,-0.021553,-3.228428,0.177671,-4.506672,-3.510481,8.8833,0,-0.335362,0.149105,-0.44988,0.105864,-0.037249,0.054215,0.011594,-0.003538,-7.704255,1.334753,-2.288623,0.822715,-8.397666,0,-0.176938,-0.223564,0.011104,-0.029272,-0.010974,-0.005008,-0.025837,-0.007235,-0.982495,-7.468101,-8.768554,-1.985226,-3.58229,0,-0.147235,0.123171,-0.275354,0.090364,-0.018103,-0.017317,-0.01204,-0.006213,-5.11865,0.976697,-1.999466,0.757051,-9.793072,26.649272
2024/02/28 00:00:00.017,n,0,-0.93111,-1.596403,-9.582642,-1.692516,0.000723,-0.043743,-0.006505,-0.01179,-7.124604,-2.274188,14.870068,0.419501,-3.838432,0,0.417367,-0.100948,-0.050039,-0.092236,0.007488,0.010362,-0.052773,0.017443,-0.39976,-8.613338,-10.16475,-1.115255,-3.407086,0,0.073178,0.021601,0.167863,-0.143414,-0.040621,1.385811,-0.041136,-0.020105,-5.707432,-0.853314,-14.37111,-3.017444,-3.246442,0,-0.076909,-0.545643,0.114054,-0.102198,-0.001123,-0.043,0.009454,-0.032688,5.126793,-50.615484,-10.259508,3.344161,3.476428,0,-0.226616,-0.305344,-0.092785,-0.216358,0.012768,0.011378,0.009685,7.059227,46365.788,-2.033468,-4.160707,9.274422,-55.56164,0,0.159294,0.088436,0.098722,0.059151,-0.019483,0.03492,-0.005818,-0.022977,-3.610174,-4.503217,-2.66457,-6.773704,-10.298004,0,-0.358712,-0.019266,-0.171723,5.61336,-0.02547,-0.013619,-0.001135,-0.022884,-3.539846,0.299079,-4.628821,-4.203892,8.808776,0,-0.332994,0.205711,-0.455586,0.135803,-0.043584,0.047471,0.00544,0.003278,-7.940656,0.562871,-2.090718,1.668873,-8.782126,0,-0.174568,-0.212585,0.019794,-0.020348,-0.004858,-0.010105,-0.013007,0.011794,-0.63394,-7.308197,-8.050467,-1.916625,-2.846436,0,-0.144279,0.136396,-0.277723,0.104849,-0.005054,-0.004426,-0.005954,-0.006213,-4.397355,1.460356,-3.065138,-0.259043,-9.966096,26.507858
2024/02/28 01:00:00.001,n,0,-0.923468,-1.593834,-9.573236,-1.682903,-0.010611,-0.025555,0.004348,-0.01143,-7.253415,-1.644937,57.123912,0.527831,-4.421045,0,0.411418,-0.103298,-0.049469,-0.092236,0.007843,-0.001619,-0.058932,-0.007905,-0.423696,-7.151994,-9.118712,-1.207545,-2.943415,0,0.08449,0.031321,0.1661,-0.148186,-0.020377,1.381167,-0.047514,-0.014239,-5.310633,-1.000016,-16.231472,-2.700104,-2.513303,0,-0.081041,-0.552767,0.111124,-0.110533,-0.00567,-0.048572,0.01563,-0.041855,5.131481,-53.166788,-10.310342,4.195008,3.869524,0,-0.217093,-0.302595,-0.085108,-0.213093,0.000701,0.0175,0.010979,6.721403,45637.232,-2.049385,-4.7105,9.330438,-3432.1976,0,0.157564,0.082489,0.097452,0.057976,-0.006427,0.029555,-0.00492,-0.026151,-4.171565,-5.075712,-2.58795,-7.17445,-10.409542,0,-0.342303,-0.04459,-0.175269,5.647248,-0.024151,-0.0199,-0.006726,-0.035121,-3.444595,0.677124,-4.627587,-4.447449,9.018774,0,-0.339512,0.167076,-0.459166,0.148384,-0.038933,0.035612,0.017019,-0.008959,-7.721775,17191.566,-2.517251,1.54475,-8.733512,0,-0.177542,-0.212223,0.01995,-0.017029,0.007361,-0.016122,-0.007155,0.004917,-0.840976,-7.354589,-8.515866,-2.14661,-2.394856,0,-0.152596,0.094933,-0.28246,0.076645,-0.004871,-0.016224,-0.02421,0.006732,244.40336,0.243064,-3.203707,-0.803158,-10.757356,26.37688
2024/02/28 02:00:00.001,n,0,-0.869933,-1.550701,-9.523662,-1.641924,-0.002236,-0.034288,0.012952,-0.009295,-6.898073,-1.585713,5.20329,-0.55917,-4.767256,0,0.41761,-0.08853,-0.041996,-0.078501,0.004692,0.013553,-0.044147,0.007899,-0.529805,-7.217387,-9.762524,-1.305141,-2.96365,0,0.08913,0.037848,0.172915,-0.13452,-0.01921,1.395721,-0.044141,-0.011516,-5.25363,-0.620985,-17.950684,-2.850878,-2.525395,0,-0.07305,-0.541521,0.120095,-0.096973,-0.004997,-0.02816,0.007017,-0.035679,4.578974,-55.480948,-10.975868,4.622898,5.252396,0,-0.224386,-0.306076,-0.086663,-0.213055,0.009965,0.008023,0.012797,6.645514,46133.668,-2.716144,-4.869663,9.769186,-3432.5272,0,0.150501,0.096083,0.105751,0.069324,-0.00412,0.033032,0.009943,-0.024846,-4.294454,-5.01945,-2.895913,-7.072536,-10.695788,0,-0.358519,-0.020411,-0.172051,5.618485,-0.034642,-0.017568,-0.004478,-0.032192,-3.779702,0.884406,-5.062141,-4.979968,8.764852,0,-0.333872,0.147812,-0.450034,0.142902,-0.035757,0.056176,0.002867,-0.005423,-8.755968,1.733772,-2.316261,1.500826,-8.251333,0,-0.173632,-0.22464,0.005024,-0.026211,0.016628,0.011888,-0.003521,0.002159,-0.901557,-7.664526,-8.789776,-2.082204,-3.000664,0,-0.139212,0.140097,-0.276838,0.095928,0.004281,-0.014282,0.003972,-0.008995,-4.964915,1.508475,-3.069104,-0.800183,-10.751654,26.114152
